timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160115.410,-140.137,47.852,37.109,-160.156,0.000
1676160115.414,-123.535,47.363,36.621,-91.309,0.000
1676160115.418,-179.199,42.480,25.879,-171.387,0.000
1676160115.421,-245.605,47.363,32.227,-299.316,0.000
1676160115.425,-235.840,56.641,40.527,-272.949,0.000
1676160115.429,-181.152,60.059,40.039,-160.156,0.000
1676160115.433,-185.059,57.129,30.273,-179.688,0.000
1676160115.437,-257.812,48.340,12.207,-296.875,0.000
1676160115.441,-233.887,60.547,36.133,-252.441,0.000
1676160115.445,-161.621,64.941,51.758,-121.582,0.000
1676160115.449,-183.105,51.270,12.207,-153.809,0.000
1676160115.453,-194.336,61.523,18.555,-217.285,0.000
1676160115.457,-186.035,72.266,36.133,-226.074,0.000
1676160115.461,-164.062,63.965,18.066,-163.086,0.000
1676160115.464,-144.043,52.734,-6.348,-115.723,0.000
1676160115.468,-125.488,66.895,15.625,-140.625,0.000
1676160115.472,-138.672,81.055,27.344,-193.359,0.000
1676160115.476,-127.930,67.871,6.836,-144.043,0.000
1676160115.480,-83.008,57.129,-10.742,-34.668,0.000
1676160115.484,-75.684,66.406,-8.789,-58.105,0.000
1676160115.488,-59.082,88.379,25.391,-93.262,0.000
1676160115.492,-64.453,73.242,1.953,-83.496,0.000
1676160115.496,-51.758,46.387,-27.832,-35.156,0.000
1676160115.499,20.996,59.082,-5.859,35.156,0.000
1676160115.504,-0.488,57.129,-10.254,-22.949,0.000
1676160115.507,-38.574,39.062,-20.020,-61.035,0.000
1676160115.511,25.391,30.762,-27.832,41.504,0.000
1676160115.515,110.840,33.691,-12.207,134.766,0.000
1676160115.519,93.750,40.039,2.441,83.008,0.000
1676160115.523,58.594,39.062,-15.137,20.020,0.000
1676160115.527,73.242,16.113,-43.945,81.055,0.000
1676160115.531,146.484,13.184,-29.297,210.449,0.000
1676160115.535,184.570,31.250,-4.883,216.797,0.000
1676160115.539,82.031,11.230,-36.133,56.641,0.000
1676160115.542,72.754,-7.812,-54.199,78.613,0.000
1676160115.546,166.016,-5.859,-45.898,236.816,0.000
1676160115.550,199.707,7.812,-34.180,248.047,0.000
1676160115.554,133.789,10.742,-43.457,116.211,0.000
1676160115.558,124.023,11.230,-43.457,104.004,0.000
1676160115.562,214.844,17.578,-28.320,258.301,0.000
1676160115.566,255.859,21.973,-36.133,310.547,0.000
1676160115.570,210.938,32.227,-30.762,200.684,0.000
1676160115.574,153.320,27.832,-38.086,118.164,0.000
1676160115.578,231.445,36.621,-29.297,258.789,0.000
1676160115.582,267.578,27.832,-40.527,341.309,0.000
1676160115.585,178.223,11.719,-74.707,191.895,0.000
1676160115.589,163.574,34.180,-46.387,126.465,0.000
1676160115.593,187.500,29.785,-45.410,208.008,0.000
1676160115.597,209.473,17.090,-72.754,286.133,0.000
1676160115.601,210.938,28.320,-63.965,249.023,0.000
1676160115.605,173.828,42.969,-35.645,151.855,0.000
1676160115.609,161.133,37.598,-42.480,147.461,0.000
1676160115.613,200.684,21.973,-65.430,237.305,0.000
1676160115.617,230.469,32.715,-50.293,255.859,0.000
1676160115.621,194.824,51.758,-23.438,153.809,0.000
1676160115.625,160.156,44.434,-24.902,125.488,0.000
1676160115.628,147.949,15.625,-67.383,178.711,0.000
1676160115.632,185.059,29.297,-58.105,223.145,0.000
1676160115.636,184.082,61.035,-25.391,169.922,0.000
1676160115.640,114.258,51.270,-41.016,72.266,0.000
1676160115.644,119.141,38.086,-64.941,125.977,0.000
1676160115.648,193.359,47.363,-53.223,229.492,0.000
1676160115.652,180.176,55.176,-39.551,175.293,0.000
1676160115.656,110.840,58.105,-40.527,68.848,0.000
1676160115.660,110.840,51.758,-50.781,106.445,0.000
1676160115.664,160.645,43.945,-53.223,208.984,0.000
1676160115.667,194.336,64.941,-17.090,229.492,0.000
1676160115.671,112.793,58.594,-30.762,99.121,0.000
1676160115.675,36.621,22.461,-81.543,38.086,0.000
1676160115.679,117.188,31.250,-64.941,161.621,0.000
1676160115.683,152.832,50.293,-48.828,189.941,0.000
1676160115.687,85.938,50.293,-52.734,77.148,0.000
1676160115.691,44.434,47.363,-57.129,37.598,0.000
1676160115.695,101.562,51.758,-47.852,150.391,0.000
1676160115.699,134.277,49.316,-43.945,190.430,0.000
1676160115.703,88.867,49.316,-45.898,89.844,0.000
1676160115.707,63.965,53.711,-27.344,38.086,0.000
1676160115.710,96.191,53.711,-15.625,128.906,0.000
1676160115.714,135.254,55.664,-12.207,211.914,0.000
1676160115.718,68.848,46.387,-39.062,99.121,0.000
1676160115.722,25.879,53.711,-36.133,1.465,0.000
1676160115.726,79.102,58.105,-12.207,71.777,0.000
1676160115.730,122.070,53.711,-16.602,144.531,0.000
1676160115.734,88.379,53.223,-28.809,89.355,0.000
1676160115.738,45.898,56.152,-18.066,8.301,0.000
1676160115.742,75.684,63.477,-1.465,43.457,0.000
1676160115.746,104.004,56.641,-18.555,121.094,0.000
1676160115.749,112.305,56.152,-15.137,139.160,0.000
1676160115.753,72.754,62.012,-3.906,55.176,0.000
1676160115.757,75.195,73.730,14.160,64.453,0.000
1676160115.761,96.191,62.500,-0.488,144.531,0.000
1676160115.765,62.988,33.691,-42.969,114.258,0.000
1676160115.769,59.570,56.152,-17.090,59.082,0.000
1676160115.773,30.273,65.430,-11.230,1.465,0.000
1676160115.777,27.832,43.457,-25.879,47.363,0.000
1676160115.781,69.336,44.922,-17.578,131.836,0.000
1676160115.785,69.336,64.453,-8.301,87.891,0.000
1676160115.789,1.953,71.777,0.000,-21.973,0.000
1676160115.792,-52.246,48.828,-16.602,-36.133,0.000
1676160115.796,-7.324,56.152,-8.789,56.152,0.000
1676160115.800,9.277,77.148,25.391,52.734,0.000
1676160115.804,-74.219,71.777,46.875,-93.750,0.000
1676160115.808,-156.250,51.270,30.762,-184.570,0.000
1676160115.812,-163.574,31.738,3.906,-132.812,0.000
1676160115.816,-123.535,42.480,44.922,-77.637,0.000
1676160115.820,-177.246,48.828,77.148,-182.129,0.000
1676160115.824,-306.152,26.367,22.461,-338.379,0.000
1676160115.828,-280.273,16.602,9.766,-266.113,0.000
1676160115.832,-199.707,12.207,28.320,-156.250,0.000
1676160115.835,-236.328,23.926,19.531,-232.910,0.000
1676160115.839,-295.898,32.227,17.090,-345.215,0.000
1676160115.843,-245.117,35.645,29.297,-265.625,0.000
1676160115.847,-174.805,37.109,20.020,-141.113,0.000
1676160115.851,-166.992,44.434,21.973,-163.574,0.000
1676160115.855,-240.723,39.062,13.184,-299.316,0.000
1676160115.859,-254.883,29.785,-15.625,-300.781,0.000
1676160115.863,-128.906,45.898,17.090,-94.238,0.000
1676160115.867,-117.188,30.762,18.555,-77.637,0.000
1676160115.871,-196.289,19.043,-11.719,-240.723,0.000
1676160115.874,-179.199,34.668,-0.488,-230.957,0.000
1676160115.879,-119.141,23.438,-14.160,-109.375,0.000
1676160115.882,-79.590,12.695,-28.320,-58.594,0.000
1676160115.886,-95.215,22.461,-21.484,-129.883,0.000
1676160115.890,-101.562,31.738,-7.324,-158.691,0.000
1676160115.894,-48.828,20.508,-15.625,-57.129,0.000
1676160115.898,16.113,14.160,-23.926,36.133,0.000
1676160115.902,-12.695,15.625,-35.645,-19.043,0.000
1676160115.906,-40.039,28.320,-26.367,-95.215,0.000
1676160115.910,20.020,28.809,-14.160,4.883,0.000
1676160115.914,32.715,-4.883,-64.941,72.754,0.000
1676160115.917,41.992,-1.953,-67.383,39.551,0.000
1676160115.921,35.156,20.020,-29.785,-3.418,0.000
1676160115.925,27.832,6.836,-46.875,11.719,0.000
1676160115.929,75.195,-10.254,-74.219,104.980,0.000
1676160115.933,133.789,13.184,-53.711,158.691,0.000
1676160115.937,104.980,27.832,-38.574,78.613,0.000
1676160115.941,59.570,15.137,-55.176,29.297,0.000
1676160115.945,110.840,9.277,-61.035,139.648,0.000
1676160115.949,163.086,22.461,-54.199,211.426,0.000
1676160115.953,167.480,44.922,-23.926,175.293,0.000
1676160115.957,108.887,31.250,-39.062,81.543,0.000
1676160115.960,72.266,-0.977,-91.797,71.289,0.000
1676160115.964,154.785,11.230,-62.012,186.523,0.000
1676160115.968,161.621,21.973,-50.781,149.902,0.000
1676160115.972,98.633,20.020,-65.918,41.992,0.000
1676160115.976,105.469,14.648,-73.730,80.566,0.000
1676160115.980,174.805,14.648,-71.289,199.219,0.000
1676160115.984,191.406,23.926,-51.758,206.543,0.000
1676160115.988,140.137,29.297,-46.875,111.328,0.000
1676160115.992,128.418,20.996,-55.664,108.398,0.000
1676160115.996,188.477,20.020,-51.758,213.379,0.000
1676160115.999,214.844,31.738,-41.992,254.883,0.000
1676160116.003,118.164,19.531,-67.383,114.746,0.000
1676160116.007,89.844,17.578,-71.289,63.477,0.000
1676160116.011,171.875,31.738,-46.875,189.941,0.000
1676160116.015,204.590,33.691,-43.457,242.188,0.000
1676160116.019,156.738,33.691,-57.129,154.297,0.000
1676160116.023,125.488,35.645,-57.617,91.309,0.000
1676160116.027,148.438,28.809,-55.664,159.668,0.000
1676160116.031,188.477,28.320,-53.711,243.164,0.000
1676160116.035,170.410,32.715,-55.176,202.148,0.000
1676160116.039,125.000,35.645,-48.828,121.094,0.000
1676160116.042,154.297,41.016,-28.320,179.199,0.000
1676160116.046,172.363,25.391,-52.246,247.559,0.000
1676160116.050,131.348,13.184,-81.055,190.918,0.000
1676160116.054,107.910,31.250,-48.828,113.281,0.000
1676160116.058,88.379,24.414,-47.363,85.449,0.000
1676160116.062,113.770,8.789,-68.359,162.598,0.000
1676160116.066,158.203,14.160,-65.430,208.984,0.000
1676160116.070,141.113,30.273,-44.434,140.137,0.000
1676160116.074,91.797,29.785,-44.922,64.453,0.000
1676160116.078,109.863,13.672,-68.848,126.953,0.000
1676160116.082,167.969,15.137,-64.941,233.887,0.000
1676160116.085,173.828,40.039,-27.832,196.289,0.000
1676160116.089,114.258,44.434,-14.160,103.027,0.000
1676160116.093,65.918,8.301,-60.059,95.215,0.000
