timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160183.148,-36.133,-28.809,-33.691,-85.938,0.000
1676160183.152,3.418,-14.648,-28.320,-6.836,0.000
1676160183.156,24.414,-2.441,-24.414,27.832,0.000
1676160183.160,-17.578,-11.230,-39.062,-39.551,0.000
1676160183.164,-52.246,-13.184,-42.969,-90.820,0.000
1676160183.168,-18.555,-13.184,-23.926,-39.551,0.000
1676160183.172,20.508,-16.113,-14.160,26.855,0.000
1676160183.176,-2.930,-18.555,-34.180,-26.367,0.000
1676160183.179,-40.527,-33.691,-41.016,-85.938,0.000
1676160183.183,-29.785,-32.715,-38.574,-49.316,0.000
1676160183.187,9.277,-20.996,-50.293,9.766,0.000
1676160183.191,11.719,-17.578,-31.250,4.883,0.000
1676160183.195,-24.414,-13.184,-22.949,-54.199,0.000
1676160183.199,-35.156,-9.766,-30.273,-72.266,0.000
1676160183.203,-2.930,-12.207,-19.531,-26.855,0.000
1676160183.207,1.953,-12.695,-25.391,-7.812,0.000
1676160183.211,-28.320,-20.020,-35.645,-59.570,0.000
1676160183.215,-36.621,-41.504,-30.273,-70.801,0.000
1676160183.219,-3.906,-49.316,-45.410,-13.672,0.000
1676160183.222,38.574,-55.176,-58.594,20.996,0.000
1676160183.226,47.363,-91.309,-21.484,6.836,0.000
1676160183.230,15.137,-41.504,-38.086,-22.949,0.000
1676160183.234,47.363,17.090,-74.707,41.504,0.000
1676160183.238,136.230,-7.812,-44.922,150.391,0.000
1676160183.242,79.590,-97.168,-35.645,83.496,0.000
1676160183.246,-30.762,-129.395,-69.824,-51.758,0.000
1676160183.250,46.875,-220.215,-101.562,39.551,0.000
1676160183.254,145.020,-209.473,-30.273,161.621,0.000
1676160183.258,201.660,55.664,16.113,208.984,0.000
1676160183.262,333.984,265.625,169.922,331.055,0.000
1676160183.265,181.641,235.840,-53.223,177.246,0.000
1676160183.269,41.016,42.480,-151.855,53.711,0.000
1676160183.273,167.969,-32.715,349.609,194.824,0.000
1676160183.277,43.945,32.227,155.273,50.293,0.000
1676160183.281,13.184,176.270,-159.180,-2.441,0.000
1676160183.285,219.727,112.305,-7.812,238.770,0.000
1676160183.289,-117.188,-319.336,-237.305,-77.148,0.000
1676160183.293,-446.289,-294.922,-392.578,-425.293,0.000
1676160183.297,-173.828,-18.066,-65.430,-155.273,0.000
1676160183.301,44.922,-262.207,-80.566,81.543,0.000
1676160183.304,-98.145,-371.582,-300.781,-36.621,0.000
1676160183.308,-371.094,-267.090,-357.910,-309.570,0.000
1676160183.312,-484.375,-89.844,-224.121,-464.355,0.000
1676160183.316,-133.301,146.973,68.848,-88.867,0.000
1676160183.320,-399.414,-373.535,-225.098,-302.734,0.000
1676160183.324,-696.777,-736.816,-489.746,-596.191,0.000
1676160183.328,-641.602,-681.641,-488.281,-575.684,0.000
1676160183.332,-672.363,-608.887,-453.125,-613.281,0.000
1676160183.336,-411.621,-542.969,-401.367,-315.918,0.000
1676160183.340,-331.543,-579.590,-331.543,-233.887,0.000
1676160183.344,-500.488,-528.809,-255.859,-434.570,0.000
1676160183.347,-532.715,-604.004,-330.566,-480.957,0.000
1676160183.351,-446.289,-783.203,-258.301,-389.160,0.000
1676160183.355,-318.848,-579.590,-104.004,-259.277,0.000
1676160183.359,-488.770,-616.211,-220.215,-469.238,0.000
1676160183.363,-658.203,-891.113,-292.480,-689.941,0.000
1676160183.367,-542.969,-872.559,-300.293,-560.547,0.000
1676160183.371,-374.512,-775.879,-307.617,-386.719,0.000
1676160183.375,-284.668,-752.930,-297.363,-331.055,0.000
1676160183.379,-256.348,-732.910,-312.012,-335.449,0.000
1676160183.383,-208.496,-693.848,-315.918,-283.691,0.000
1676160183.387,-153.809,-652.344,-326.660,-202.148,0.000
1676160183.390,-120.117,-577.148,-333.008,-174.805,0.000
1676160183.394,-104.004,-512.207,-295.898,-193.848,0.000
1676160183.398,-116.699,-496.582,-302.246,-216.309,0.000
1676160183.402,-64.941,-462.891,-296.387,-136.719,0.000
1676160183.406,6.836,-403.320,-261.230,-49.316,0.000
1676160183.410,-0.977,-369.629,-258.301,-68.359,0.000
1676160183.414,-32.227,-345.215,-257.324,-104.004,0.000
1676160183.418,-21.484,-302.246,-259.277,-62.988,0.000
1676160183.422,29.297,-225.098,-236.816,12.207,0.000
1676160183.426,51.270,-172.363,-195.801,14.648,0.000
1676160183.430,28.809,-125.977,-177.246,-38.086,0.000
1676160183.433,49.805,-79.102,-170.410,-5.371,0.000
1676160183.437,102.539,-45.898,-166.504,56.641,0.000
1676160183.441,111.816,-8.789,-139.160,27.832,0.000
1676160183.445,94.238,26.855,-102.051,-34.180,0.000
1676160183.449,107.422,83.008,-83.496,-22.461,0.000
1676160183.453,157.227,137.695,-64.941,63.477,0.000
1676160183.457,192.383,184.570,-25.879,112.793,0.000
1676160183.461,150.879,214.355,-4.395,41.504,0.000
1676160183.465,117.676,236.816,18.555,7.812,0.000
1676160183.469,139.648,257.812,32.715,68.848,0.000
1676160183.472,166.992,272.461,41.016,102.051,0.000
1676160183.476,149.414,306.152,77.637,68.848,0.000
1676160183.480,111.816,326.660,98.633,25.391,0.000
1676160183.484,132.324,329.590,102.051,79.590,0.000
