timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160248.165,22.949,-10.742,-33.203,18.066,0.000
1676160248.169,-11.719,-11.230,-28.809,-19.043,0.000
1676160248.173,-29.785,-15.625,-35.156,-40.527,0.000
1676160248.177,-7.324,-17.578,-39.062,-10.742,0.000
1676160248.181,20.020,-12.207,-28.809,25.879,0.000
1676160248.185,6.348,-10.254,-33.203,1.953,0.000
1676160248.189,-23.926,-17.578,-41.016,-37.598,0.000
1676160248.192,-16.113,-24.414,-34.668,-10.742,0.000
1676160248.196,17.578,-12.695,-33.691,36.621,0.000
1676160248.200,8.301,-7.324,-41.504,9.277,0.000
1676160248.204,-26.367,-12.207,-36.133,-42.969,0.000
1676160248.208,-15.137,-8.301,-27.344,-13.184,0.000
1676160248.212,12.207,-12.207,-31.250,33.691,0.000
1676160248.216,8.301,-20.020,-35.156,21.484,0.000
1676160248.220,-16.602,-23.926,-35.645,-25.391,0.000
1676160248.224,-15.137,-21.484,-26.855,-17.578,0.000
1676160248.228,1.953,-21.484,-26.855,21.484,0.000
1676160248.231,10.254,-29.785,-32.715,26.367,0.000
1676160248.235,-9.277,-30.762,-27.832,-15.137,0.000
1676160248.239,-34.180,-22.461,-27.832,-41.016,0.000
1676160248.243,-11.230,-17.090,-27.344,-0.488,0.000
1676160248.247,0.977,-19.531,-31.250,9.277,0.000
1676160248.251,-15.625,-18.555,-34.668,-22.461,0.000
1676160248.255,-31.738,-10.742,-31.738,-41.504,0.000
1676160248.259,-20.996,-9.277,-36.621,-30.273,0.000
1676160248.263,6.836,-7.812,-42.969,3.906,0.000
1676160248.267,8.301,-5.859,-40.039,-3.418,0.000
1676160248.271,-25.391,-8.301,-36.621,-42.969,0.000
1676160248.274,-27.832,-5.859,-37.109,-38.574,0.000
1676160248.278,5.859,-6.836,-41.016,0.488,0.000
1676160248.282,16.602,-7.812,-41.016,-0.977,0.000
1676160248.286,-5.859,-5.371,-36.621,-32.715,0.000
1676160248.290,-25.391,-7.812,-39.062,-44.434,0.000
1676160248.294,-4.395,-11.230,-43.457,-24.902,0.000
1676160248.298,11.719,-9.277,-41.016,-6.348,0.000
1676160248.302,-10.742,-4.395,-37.109,-26.367,0.000
1676160248.306,-22.949,-5.859,-32.715,-40.527,0.000
1676160248.310,-4.883,-6.348,-39.551,-3.906,0.000
1676160248.314,13.672,-11.230,-44.434,11.719,0.000
1676160248.317,13.184,-10.254,-33.203,-6.836,0.000
1676160248.321,-11.230,-3.418,-26.367,-24.414,0.000
1676160248.325,-8.789,-8.301,-19.043,-5.859,0.000
1676160248.329,21.973,-11.230,-14.648,32.227,0.000
